step,hot_expert,expert_popularity,default_cost,default_cost_reduction_pct,default_latency_ms,policy2_cost,policy2_cost_reduction_pct,policy2_latency_ms,policy3_cost,policy3_cost_reduction_pct,policy3_latency_ms,policy4_cost,policy4_cost_reduction_pct,policy4_latency_ms
0,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,453578.109408,0.000000,29.735989,344595.402526,24.027329,25.191431,348179.402526,23.237168,26.401745,345491.402526,23.829789,25.884562
1,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,453578.109408,0.000000,27.296581,344595.402526,24.027329,25.618739,348179.402526,23.237168,25.725827,345491.402526,23.829789,26.014175
2,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,453578.109408,0.000000,28.309224,344595.402526,24.027329,26.888397,348179.402526,23.237168,26.300542,345491.402526,23.829789,26.960539
3,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,453578.109408,0.000000,28.334709,344595.402526,24.027329,26.130324,348179.402526,23.237168,25.932998,345491.402526,23.829789,25.283226
4,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,453578.109408,0.000000,26.701773,344595.402526,24.027329,25.974542,348179.402526,23.237168,25.966788,345491.402526,23.829789,26.306961
5,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,453578.109408,0.000000,28.220329,344595.402526,24.027329,25.033799,348179.402526,23.237168,25.531622,345491.402526,23.829789,25.160623
6,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,453578.109408,0.000000,28.746700,344595.402526,24.027329,25.938945,348179.402526,23.237168,26.188178,345491.402526,23.829789,25.327777
7,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,453578.109408,0.000000,26.942487,344595.402526,24.027329,25.563472,348179.402526,23.237168,26.007693,345491.402526,23.829789,26.404995
8,7,0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629,381898.250631,0.000000,26.744108,317694.548005,16.811730,26.861534,321278.548005,15.873260,25.996197,318590.548005,16.577112,26.204104
9,7,0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629,381898.250631,0.000000,27.682614,317694.548005,16.811730,26.259518,321278.548005,15.873260,27.037094,318590.548005,16.577112,27.310907
10,7,0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629,381898.250631,0.000000,28.212286,317694.548005,16.811730,26.171791,321278.548005,15.873260,27.004629,318590.548005,16.577112,26.913692
11,7,0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629,381898.250631,0.000000,28.623234,317694.548005,16.811730,26.810636,321278.548005,15.873260,25.399572,318590.548005,16.577112,26.018653
