step,hot_expert,expert_popularity,default_cost,default_cost_reduction_pct,default_latency_ms,policy2_cost,policy2_cost_reduction_pct,policy2_latency_ms,policy3_cost,policy3_cost_reduction_pct,policy3_latency_ms,policy4_cost,policy4_cost_reduction_pct,policy4_latency_ms
0,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,513573.700901,0.000000,29.735989,344595.402526,32.902444,24.481422,348179.402526,32.204589,25.684352,345491.402526,32.727980,25.172707
1,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,513573.700901,0.000000,27.296581,344595.402526,32.902444,24.908730,348179.402526,32.204589,25.008434,345491.402526,32.727980,25.302320
2,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,513573.700901,0.000000,28.309224,344595.402526,32.902444,26.178388,348179.402526,32.204589,25.583148,345491.402526,32.727980,26.248683
3,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,513573.700901,0.000000,28.334709,344595.402526,32.902444,25.420315,348179.402526,32.204589,25.215604,345491.402526,32.727980,24.571371
4,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,513573.700901,0.000000,26.701773,344595.402526,32.902444,25.264533,348179.402526,32.204589,25.249394,345491.402526,32.727980,25.595105
5,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,513573.700901,0.000000,28.220329,344595.402526,32.902444,24.323790,348179.402526,32.204589,24.814228,345491.402526,32.727980,24.448768
6,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,513573.700901,0.000000,28.746700,344595.402526,32.902444,25.228936,348179.402526,32.204589,25.470785,345491.402526,32.727980,24.615922
7,0,0.428629;0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349,513573.700901,0.000000,26.942487,344595.402526,32.902444,24.853463,348179.402526,32.204589,25.290300,345491.402526,32.727980,25.693140
8,7,0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629,683384.713641,0.000000,26.744108,317694.548005,53.511610,23.925544,321278.548005,52.987162,23.027085,318590.548005,53.380498,23.259833
9,7,0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629,683384.713641,0.000000,27.682614,317694.548005,53.511610,23.323528,321278.548005,52.987162,24.067982,318590.548005,53.380498,24.366636
10,7,0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629,683384.713641,0.000000,28.212286,317694.548005,53.511610,23.235801,321278.548005,52.987162,24.035516,318590.548005,53.380498,23.969421
11,7,0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629,683384.713641,0.000000,28.623234,317694.548005,53.511610,23.874645,321278.548005,52.987162,22.430460,318590.548005,53.380498,23.074382
12,7,0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629,683384.713641,0.000000,27.626337,317694.548005,53.511610,24.390695,321278.548005,52.987162,23.597683,318590.548005,53.380498,24.391864
13,7,0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629,683384.713641,0.000000,28.174090,317694.548005,53.511610,22.724625,321278.548005,52.987162,23.740892,318590.548005,53.380498,24.109866
14,7,0.186572;0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629,683384.713641,0.000000,28.264337,317694.548005,53.511610,22.493486,321278.548005,52.987162,24.040533,318590.548005,53.380498,23.210103
15,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,717819.991858,0.000000,26.280207,290793.693484,59.489329,22.735590,294377.693484,58.990040,21.669308,291689.693484,59.364507,22.189450
16,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,717819.991858,0.000000,29.079499,290793.693484,59.489329,25.126796,294377.693484,58.990040,24.060114,291689.693484,59.364507,23.536509
17,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,717819.991858,0.000000,29.441313,290793.693484,59.489329,23.453961,294377.693484,58.990040,22.451129,291689.693484,59.364507,21.258287
18,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,717819.991858,0.000000,28.660328,290793.693484,59.489329,21.405411,294377.693484,58.990040,20.966308,291689.693484,59.364507,22.678293
19,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,717819.991858,0.000000,27.995433,290793.693484,59.489329,22.503421,294377.693484,58.990040,24.049014,291689.693484,59.364507,23.126151
20,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,717819.991858,0.000000,28.110817,290793.693484,59.489329,23.538720,294377.693484,58.990040,22.763459,291689.693484,59.364507,23.363214
21,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,717819.991858,0.000000,29.792847,290793.693484,59.489329,22.445929,294377.693484,58.990040,23.360193,291689.693484,59.364507,23.616284
22,6,0.114693;0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572,717819.991858,0.000000,27.520199,290793.693484,59.489329,23.152541,294377.693484,58.990040,21.870938,291689.693484,59.364507,22.854190
23,5,0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693,712055.504214,0.000000,27.983890,328037.205840,53.930950,24.522699,331621.205840,53.427619,24.430569,328933.205840,53.805117,23.189402
24,5,0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693,712055.504214,0.000000,27.070255,328037.205840,53.930950,25.095587,331621.205840,53.427619,24.388390,328933.205840,53.805117,22.130971
25,5,0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693,712055.504214,0.000000,27.685354,328037.205840,53.930950,22.922589,331621.205840,53.427619,23.198239,328933.205840,53.805117,22.285471
26,5,0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693,712055.504214,0.000000,27.622242,328037.205840,53.930950,23.231732,331621.205840,53.427619,23.495400,328933.205840,53.805117,24.483917
27,5,0.081210;0.062132;0.049923;0.041492;0.035349;0.428629;0.186572;0.114693,712055.504214,0.000000,28.138558,328037.205840,53.930950,22.673980,331621.205840,53.427619,22.301460,328933.205840,53.805117,23.233416
