run_id,metric,unit,kubernetes-default,policy2,policy3,policy4,sources
moe-serving-scale10-20260523T183125Z,latency_p50_ms,ms,27.995,25.939,25.953,26.014,kubernetes-default:raw/moe_expert_skew_timeseries.csv#default_latency_ms; policy2:raw/moe_expert_skew_timeseries.csv#policy2_latency_ms; policy3:raw/moe_expert_skew_timeseries.csv#policy3_latency_ms; policy4:raw/moe_expert_skew_timeseries.csv#policy4_latency_ms
moe-serving-scale10-20260523T183125Z,latency_p95_ms,ms,29.441,27.380,27.010,27.311,kubernetes-default:raw/moe_expert_skew_timeseries.csv#default_latency_ms; policy2:raw/moe_expert_skew_timeseries.csv#policy2_latency_ms; policy3:raw/moe_expert_skew_timeseries.csv#policy3_latency_ms; policy4:raw/moe_expert_skew_timeseries.csv#policy4_latency_ms
moe-serving-scale10-20260523T183125Z,latency_p99_ms,ms,29.793,27.991,27.316,27.387,kubernetes-default:raw/moe_expert_skew_timeseries.csv#default_latency_ms; policy2:raw/moe_expert_skew_timeseries.csv#policy2_latency_ms; policy3:raw/moe_expert_skew_timeseries.csv#policy3_latency_ms; policy4:raw/moe_expert_skew_timeseries.csv#policy4_latency_ms
moe-serving-scale10-20260523T183125Z,throughput_rps,requests/s,60.000,60.000,60.000,60.000,kubernetes-default:raw/moe_expert_skew_timeseries.csv#step; policy2:raw/moe_expert_skew_timeseries.csv#step; policy3:raw/moe_expert_skew_timeseries.csv#step; policy4:raw/moe_expert_skew_timeseries.csv#step
moe-serving-scale10-20260523T183125Z,sla_violations,count,n/a,n/a,n/a,n/a,
moe-serving-scale10-20260523T183125Z,sla_violation_rate,ratio,n/a,n/a,n/a,n/a,
moe-serving-scale10-20260523T183125Z,scheduler_decision_time_ms,ms,n/a,n/a,n/a,n/a,
moe-serving-scale10-20260523T183125Z,gda_build_time_ms,ms,n/a,n/a,n/a,n/a,
moe-serving-scale10-20260523T183125Z,ndm_injection_time_ms,ms,n/a,n/a,n/a,n/a,
moe-serving-scale10-20260523T183125Z,cpu_overhead_pct,percent,n/a,n/a,n/a,n/a,
moe-serving-scale10-20260523T183125Z,memory_overhead_mb,MiB,n/a,n/a,n/a,n/a,
moe-serving-scale10-20260523T183125Z,migration_count,count,n/a,n/a,n/a,n/a,
moe-serving-scale10-20260523T183125Z,network_target_vs_measured_error,unitless,n/a,n/a,n/a,n/a,
moe-serving-scale10-20260523T183125Z,placement_cost_reduction_pct,percent,0.0000,28.432,27.703,28.250,kubernetes-default:raw/moe_expert_skew_timeseries.csv#default_cost_reduction_pct; policy2:raw/moe_expert_skew_timeseries.csv#policy2_cost_reduction_pct; policy3:raw/moe_expert_skew_timeseries.csv#policy3_cost_reduction_pct; policy4:raw/moe_expert_skew_timeseries.csv#policy4_cost_reduction_pct
