step,time_s,p_read_home,p_compose_post,p_read_user,qps_read_home,qps_compose_post,qps_read_user,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,latency_ms,sla_ms,sla_violation_ratio
0,0.000,0.333333,0.539530,0.127137,30.000000,48.557687,11.442313,0.912956,0.000000,0.000000,1.000000,0.00000000,96.412172,142.852562,0.000000
1,5.000,0.364411,0.522227,0.113362,32.796990,47.000429,10.202581,1.000865,0.000000,0.085721,0.978495,0.01714415,101.159293,142.022700,0.000000
2,10.000,0.394957,0.501692,0.103351,35.546122,45.152288,9.301589,0.964318,0.000000,0.068222,0.985663,0.01364449,98.123440,141.101194,0.000000
3,15.000,0.424448,0.478277,0.097275,38.200359,43.044888,8.754753,1.041091,0.000000,0.064504,0.985663,0.01290087,99.278409,140.103812,0.000000
4,20.000,0.452381,0.452381,0.095238,40.714286,40.714286,8.571429,0.991613,0.000000,0.068662,0.985663,0.01373244,95.264770,139.047619,0.000000
5,25.000,0.478277,0.424448,0.097275,43.044888,38.200359,8.754753,0.998532,0.000000,0.055640,0.985663,0.01112802,90.411639,137.950688,0.000000
6,30.000,0.501692,0.394957,0.103351,45.152288,35.546122,9.301589,1.042764,0.000000,0.056832,0.985663,0.01136650,91.892583,136.831787,0.000000
7,35.000,0.522227,0.364411,0.113362,47.000429,32.796990,10.202581,1.089407,0.000000,0.061768,0.992832,0.01235359,95.570365,135.710060,0.000000
8,40.000,0.539530,0.333333,0.127137,48.557687,30.000000,11.442313,0.995897,0.000000,0.105967,0.992832,0.02119342,97.995713,134.604701,0.000000
9,45.000,0.553305,0.302256,0.144440,49.797419,27.203010,12.999571,1.019988,0.000000,0.066923,0.985663,0.01338455,91.126963,133.534624,0.000000
10,50.000,0.563316,0.271710,0.164975,50.698411,24.453878,14.847712,0.989063,0.000000,0.069860,0.974910,0.01397198,87.276662,132.518136,0.000000
11,55.000,0.569392,0.242218,0.188390,51.245247,21.799641,16.955112,1.050836,0.000000,0.076908,0.982079,0.01538159,91.570977,131.572631,0.000000
12,60.000,0.571429,0.214286,0.214286,51.428571,19.285714,19.285714,0.959299,0.000000,0.115334,0.971326,0.02306676,87.825451,130.714286,0.000000
13,65.000,0.569392,0.188390,0.242218,51.245247,16.955112,21.799641,0.973065,0.000000,0.060798,0.967742,0.01215968,88.116935,129.957788,0.000000
14,70.000,0.563316,0.164975,0.271710,50.698411,14.847712,24.453878,0.991224,0.000000,0.058468,0.996416,0.01169369,85.859451,129.316081,0.000000
15,75.000,0.553305,0.144440,0.302256,49.797419,12.999571,27.203010,0.891606,0.000000,0.117349,0.992832,0.02346984,81.199796,128.800144,0.000000
16,80.000,0.539530,0.127137,0.333333,48.557687,11.442313,30.000000,0.928499,0.000000,0.058910,0.996416,0.01178201,82.464304,128.418806,0.000000
17,85.000,0.522227,0.113362,0.364411,47.000429,10.202581,32.796990,0.890720,0.000000,0.079446,1.000000,0.01588910,81.153542,128.178591,0.000000
18,90.000,0.501692,0.103351,0.394957,45.152288,9.301589,35.546122,0.875600,0.000000,0.066043,0.996416,0.01320862,79.173041,128.083609,0.000000
19,95.000,0.478277,0.097275,0.424448,43.044888,8.754753,38.200359,0.839653,0.000000,0.069738,0.996416,0.01394763,77.904697,128.135486,0.000000
20,100.000,0.452381,0.095238,0.452381,40.714286,8.571429,40.714286,0.804375,0.000000,0.063413,0.992832,0.01268256,79.530513,128.333333,0.000000
21,105.000,0.424448,0.097275,0.478277,38.200359,8.754753,43.044888,0.725371,0.000000,0.102592,0.992832,0.02051845,81.043145,128.673767,0.000000
22,110.000,0.394957,0.103351,0.501692,35.546122,9.301589,45.152288,0.680793,0.000000,0.063097,0.996416,0.01261940,74.346068,129.150961,0.000000
23,115.000,0.364411,0.113362,0.522227,32.796990,10.202581,47.000429,0.691064,0.000000,0.066486,0.996416,0.01329728,78.419227,129.756751,0.000000
24,120.000,0.333333,0.127137,0.539530,30.000000,11.442313,48.557687,0.692948,0.000000,0.068151,1.000000,0.01363019,80.565185,130.480771,0.000000
25,125.000,0.302256,0.144440,0.553305,27.203010,12.999571,49.797419,0.705165,0.000000,0.075362,0.989247,0.01507241,73.207673,131.310634,0.000000
26,130.000,0.271710,0.164975,0.563316,24.453878,14.847712,50.698411,0.688902,0.000000,0.066635,0.996416,0.01332710,79.297199,132.232140,0.000000
27,135.000,0.242218,0.188390,0.569392,21.799641,16.955112,51.245247,0.592298,0.000000,0.129073,0.985663,0.02581465,76.836379,133.229522,0.000000
28,140.000,0.214286,0.214286,0.571429,19.285714,19.285714,51.428571,0.625503,0.000000,0.096033,0.982079,0.01920666,76.182576,134.285714,0.000000
29,145.000,0.188390,0.242218,0.569392,16.955112,21.799641,51.245247,0.564479,0.000000,0.095183,0.939068,0.01903658,77.803249,135.382646,0.000000
30,150.000,0.164975,0.271710,0.563316,14.847712,24.453878,50.698411,0.570081,0.000000,0.068908,0.971326,0.01378170,82.151327,136.501547,0.000000
31,155.000,0.144440,0.302256,0.553305,12.999571,27.203010,49.797419,0.619764,0.000000,0.111104,0.974910,0.02222086,81.605511,137.623273,0.000000
32,160.000,0.127137,0.333333,0.539530,11.442313,30.000000,48.557687,0.562979,0.000000,0.074547,0.982079,0.01490944,76.748414,138.728632,0.000000
33,165.000,0.113362,0.364411,0.522227,10.202581,32.796990,47.000429,0.625239,0.000000,0.119872,0.992832,0.02397441,88.983724,139.798710,0.000000
34,170.000,0.103351,0.394957,0.501692,9.301589,35.546122,45.152288,0.669952,0.000000,0.089914,0.996416,0.01798271,88.060158,140.815198,0.000000
35,175.000,0.097275,0.424448,0.478277,8.754753,38.200359,43.044888,0.664730,0.000000,0.059831,0.996416,0.01196626,89.470998,141.760703,0.000000
36,180.000,0.095238,0.452381,0.452381,8.571429,40.714286,40.714286,0.646202,0.000000,0.050411,0.989247,0.01008230,87.524621,142.619048,0.000000
37,185.000,0.097275,0.478277,0.424448,8.754753,43.044888,38.200359,0.633477,0.000000,0.045659,0.992832,0.00913174,83.761032,143.375546,0.000000
38,190.000,0.103351,0.501692,0.394957,9.301589,45.152288,35.546122,0.654037,0.000000,0.067908,0.982079,0.01358164,90.209084,144.017253,0.000000
39,195.000,0.113362,0.522227,0.364411,10.202581,47.000429,32.796990,0.688191,0.000000,0.077684,0.985663,0.01553679,90.838979,144.533189,0.000000
40,200.000,0.127137,0.539530,0.333333,11.442313,48.557687,30.000000,0.728663,0.000000,0.081592,0.996416,0.01631848,91.778383,144.914528,0.000000
41,205.000,0.144440,0.553305,0.302256,12.999571,49.797419,27.203010,0.770353,0.000000,0.080890,0.989247,0.01617807,89.798442,145.154743,0.000000
