run_id,metric,unit,kubernetes-default,policy2,policy3,policy4,sources
moe-serving-scale45-20260523T183126Z,latency_p50_ms,ms,27.990,24.360,24.091,24.379,kubernetes-default:raw/moe_expert_skew_timeseries.csv#default_latency_ms; policy2:raw/moe_expert_skew_timeseries.csv#policy2_latency_ms; policy3:raw/moe_expert_skew_timeseries.csv#policy3_latency_ms; policy4:raw/moe_expert_skew_timeseries.csv#policy4_latency_ms
moe-serving-scale45-20260523T183126Z,latency_p95_ms,ms,29.456,25.918,25.686,25.884,kubernetes-default:raw/moe_expert_skew_timeseries.csv#default_latency_ms; policy2:raw/moe_expert_skew_timeseries.csv#policy2_latency_ms; policy3:raw/moe_expert_skew_timeseries.csv#policy3_latency_ms; policy4:raw/moe_expert_skew_timeseries.csv#policy4_latency_ms
moe-serving-scale45-20260523T183126Z,latency_p99_ms,ms,29.984,26.391,25.937,26.372,kubernetes-default:raw/moe_expert_skew_timeseries.csv#default_latency_ms; policy2:raw/moe_expert_skew_timeseries.csv#policy2_latency_ms; policy3:raw/moe_expert_skew_timeseries.csv#policy3_latency_ms; policy4:raw/moe_expert_skew_timeseries.csv#policy4_latency_ms
moe-serving-scale45-20260523T183126Z,throughput_rps,requests/s,60.000,60.000,60.000,60.000,kubernetes-default:raw/moe_expert_skew_timeseries.csv#step; policy2:raw/moe_expert_skew_timeseries.csv#step; policy3:raw/moe_expert_skew_timeseries.csv#step; policy4:raw/moe_expert_skew_timeseries.csv#step
moe-serving-scale45-20260523T183126Z,sla_violations,count,n/a,n/a,n/a,n/a,
moe-serving-scale45-20260523T183126Z,sla_violation_rate,ratio,n/a,n/a,n/a,n/a,
moe-serving-scale45-20260523T183126Z,scheduler_decision_time_ms,ms,n/a,n/a,n/a,n/a,
moe-serving-scale45-20260523T183126Z,gda_build_time_ms,ms,n/a,n/a,n/a,n/a,
moe-serving-scale45-20260523T183126Z,ndm_injection_time_ms,ms,n/a,n/a,n/a,n/a,
moe-serving-scale45-20260523T183126Z,cpu_overhead_pct,percent,n/a,n/a,n/a,n/a,
moe-serving-scale45-20260523T183126Z,memory_overhead_mb,MiB,n/a,n/a,n/a,n/a,
moe-serving-scale45-20260523T183126Z,migration_count,count,n/a,n/a,n/a,n/a,
moe-serving-scale45-20260523T183126Z,network_target_vs_measured_error,unitless,n/a,n/a,n/a,n/a,
moe-serving-scale45-20260523T183126Z,placement_cost_reduction_pct,percent,0.0000,47.637,47.102,47.503,kubernetes-default:raw/moe_expert_skew_timeseries.csv#default_cost_reduction_pct; policy2:raw/moe_expert_skew_timeseries.csv#policy2_cost_reduction_pct; policy3:raw/moe_expert_skew_timeseries.csv#policy3_cost_reduction_pct; policy4:raw/moe_expert_skew_timeseries.csv#policy4_cost_reduction_pct
