step,time_s,p_index,p_setCurrency,p_browseProduct,p_addToCart,p_viewCart,p_checkout,qps_index,qps_setCurrency,qps_browseProduct,qps_addToCart,qps_viewCart,qps_checkout,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.715789,0.031579,0.157895,0.031579,0.047368,0.015789,85.894737,3.789474,18.947368,3.789474,5.684211,1.894737,0.978681,0.000000,0.000000,1.000000,0.00000000,1.383511,0.000000,7,0.388873,1.073814,,,66.603382,111.526316,0.597199,0.000000
1,1.000,0.710030,0.031480,0.157398,0.034627,0.047219,0.019246,85.203617,3.777547,18.887735,4.155224,5.666321,2.309556,0.979490,0.000000,0.009104,1.000000,0.00910389,1.413390,0.000000,7,0.382456,1.089210,,,66.491244,112.068186,0.593311,0.000000
2,2.000,0.704308,0.031381,0.156904,0.037655,0.047071,0.022681,84.516901,3.765698,18.828491,4.518590,5.648547,2.721773,0.980291,0.000000,0.009046,1.000000,0.00904633,1.441732,0.000000,7,0.376095,1.103989,,,65.922576,112.606628,0.585424,0.000000
3,3.000,0.698622,0.031283,0.156414,0.040663,0.046924,0.026095,83.834609,3.753929,18.769646,4.879503,5.630894,3.131418,0.975723,0.000000,0.013064,0.964286,0.01306448,1.468726,0.000000,7,0.370424,1.118101,,,66.535010,113.141644,0.588068,0.000000
4,4.000,0.692973,0.031185,0.155927,0.043649,0.046778,0.029488,83.156763,3.742242,18.711212,5.237901,5.613364,3.538519,1.013790,0.000000,0.038584,1.000000,0.03858351,1.494518,0.000000,7,0.365194,1.131497,,,66.852398,113.673243,0.588110,0.000000
5,5.000,0.687361,0.031089,0.155443,0.046614,0.046633,0.032859,82.483379,3.730640,18.653198,5.593719,5.595959,3.943105,0.948373,0.000000,0.063529,1.000000,0.06352887,1.519220,0.000000,7,0.360011,1.144128,,,70.774666,114.201430,0.619735,0.000000
6,6.000,0.681787,0.030993,0.154963,0.049557,0.046489,0.036210,81.814474,3.719123,18.595614,5.946898,5.578684,4.345206,0.969039,0.000000,0.022359,0.964286,0.02235931,1.542924,0.000000,7,0.355474,1.155943,,,67.484734,114.726217,0.588224,0.000000
7,7.000,0.676251,0.030897,0.154487,0.052478,0.046346,0.039540,81.150060,3.707694,18.538471,6.297378,5.561541,4.744855,1.004349,0.000000,0.036166,1.000000,0.03616616,1.565708,0.000000,7,0.350982,1.166896,,,68.120245,115.247613,0.591077,0.000000
8,8.000,0.670751,0.030803,0.154015,0.055376,0.046204,0.042851,80.490149,3.696355,18.481777,6.645104,5.544533,5.142082,0.964369,0.000000,0.038812,1.000000,0.03881235,1.587636,0.000000,7,0.346531,1.176938,,,67.579107,115.765630,0.583758,0.000000
9,9.000,0.665290,0.030709,0.153546,0.058250,0.046064,0.046141,79.834750,3.685108,18.425540,6.990019,5.527662,5.536921,1.016672,0.125000,0.081264,0.976190,0.08126381,1.608765,0.000000,8,0.385353,1.256536,,,73.390371,116.280284,0.631151,0.000000
10,10.000,0.659866,0.030616,0.153081,0.061101,0.045924,0.049412,79.183868,3.673954,18.369771,7.332070,5.510931,5.929405,0.992903,0.000000,0.025513,1.000000,0.02551319,1.629144,0.000000,8,0.379821,1.268036,,,68.782534,116.791587,0.588934,0.000000
11,11.000,0.654479,0.030524,0.152621,0.063927,0.045786,0.052663,78.537510,3.662895,18.314477,7.671206,5.494343,6.319568,1.044282,0.111111,0.077626,1.000000,0.07762590,1.648815,0.000000,9,0.408051,1.363345,,,73.955766,117.299557,0.630486,0.000000
12,12.000,0.649131,0.030433,0.152164,0.066728,0.045649,0.055895,77.895677,3.651933,18.259667,8.007377,5.477900,6.707445,0.990899,0.000000,0.047554,1.000000,0.04755435,1.667818,0.000000,9,0.401373,1.373271,,,75.285757,117.804211,0.639075,0.000000
