step,time_s,p_read_home,p_compose_post,p_read_user,qps_read_home,qps_compose_post,qps_read_user,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.333333,0.539530,0.127137,30.000000,48.557687,11.442313,0.912956,0.000000,0.000000,1.000000,0.00000000,1.386925,0.000000,15,0.259093,0.378020,,,113.534696,142.852562,0.794768,0.000000
1,5.000,0.340812,0.535689,0.123499,30.673088,48.211986,11.114926,0.928183,0.000000,0.017130,1.000000,0.00342598,1.384320,0.000000,15,0.259303,0.326175,,,115.406617,142.662541,0.808948,0.000000
2,10.000,0.348283,0.531648,0.120069,31.345511,47.848312,10.806177,0.961297,0.000000,0.033222,0.989247,0.00664449,1.381723,0.000000,15,0.259641,0.275202,,,119.426036,142.466603,0.838274,0.000000
3,15.000,0.355740,0.527411,0.116849,32.016607,47.467024,10.516369,0.995320,0.000000,0.032833,0.989247,0.00656656,1.379160,0.000000,15,0.260225,0.225758,,,120.172572,142.264941,0.844710,0.000000
4,20.000,0.363175,0.522983,0.113842,32.685712,47.068498,10.245790,0.945569,0.000000,0.051434,1.000000,0.01028675,1.376652,0.000000,15,0.261017,0.178496,,,118.772236,142.057754,0.836084,0.000000
5,25.000,0.370580,0.518368,0.111052,33.352167,46.653128,9.994705,0.947550,0.000000,0.012202,0.992832,0.00244040,1.374223,0.500000,15,0.262033,0.134058,,,119.378187,141.845246,0.841609,0.000000
6,30.000,0.377948,0.513570,0.108482,34.015314,46.221323,9.763363,0.963928,0.000000,0.016059,1.000000,0.00321184,1.371897,0.000000,15,0.263038,0.093062,,,116.235099,141.627628,0.820709,0.000000
7,35.000,0.385272,0.508595,0.106133,34.674498,45.773509,9.551993,1.020780,0.000000,0.053895,1.000000,0.01077899,1.369696,0.000000,15,0.263884,0.056094,,,119.100947,141.405114,0.842268,0.000000
8,40.000,0.392545,0.503446,0.104009,35.329069,45.310129,9.360802,0.963861,0.066667,0.071291,0.996416,0.01425816,1.367640,0.000000,14,0.230891,0.070912,,,119.975684,141.177924,0.849819,0.000000
9,45.000,0.399760,0.498129,0.102111,35.978381,44.831639,9.189980,1.027110,0.066667,0.073149,0.996416,0.01462979,1.365751,0.000000,15,0.265511,-0.003640,,,123.114095,140.946282,0.873482,0.000000
10,50.000,0.406909,0.492650,0.100441,36.621793,44.338513,9.039694,1.023005,0.000000,0.014862,1.000000,0.00297243,1.364047,0.000000,15,0.266610,-0.025488,,,117.145864,140.710416,0.832532,0.000000
11,55.000,0.413985,0.487014,0.099001,37.258670,43.831236,8.910094,0.974005,0.066667,0.063328,1.000000,0.01266560,1.362545,0.000000,14,0.233303,-0.015351,,,117.617532,140.470560,0.837311,0.000000
12,60.000,0.420982,0.481226,0.097792,37.888383,43.310310,8.801307,1.017284,0.000000,0.040267,0.986755,0.00805348,1.361262,0.000000,14,0.234414,-0.030262,,,115.079516,140.226949,0.820666,0.000000
13,65.000,0.427892,0.475292,0.096816,38.510312,42.776247,8.713441,1.011673,0.000000,0.015262,0.982340,0.00305245,1.360209,0.500000,14,0.235762,-0.037651,,,115.285984,139.979826,0.823590,0.000000
14,70.000,0.434709,0.469218,0.096073,39.123842,42.229576,8.646582,1.011140,0.000000,0.013711,1.000000,0.00274220,1.359399,0.000000,14,0.237663,-0.037359,,,117.005165,139.729432,0.837370,0.000000
15,75.000,0.441426,0.463009,0.095564,39.728368,41.670836,8.600796,1.072306,0.066667,0.067153,1.000000,0.01343061,1.358839,0.000000,15,0.273613,-0.042648,,,117.568785,139.476016,0.842932,0.000000
16,80.000,0.448037,0.456673,0.095290,40.323293,41.100579,8.576128,0.984571,0.066667,0.096912,1.000000,0.01938248,1.358536,0.000000,14,0.241095,-0.013819,,,119.151512,139.219827,0.855852,0.000000
17,85.000,0.454534,0.450215,0.095251,40.908030,40.519366,8.572604,0.979682,0.000000,0.014880,0.991170,0.00297610,1.358493,0.000000,14,0.242896,0.009041,,,112.706754,138.961119,0.811067,0.000000
18,90.000,0.460911,0.443642,0.095447,41.482003,39.927772,8.590225,1.073806,0.066667,0.097145,1.000000,0.01942910,1.358710,0.000000,15,0.278710,0.023173,,,121.555309,138.700146,0.876389,0.000000
19,95.000,0.467163,0.436960,0.095878,42.044644,39.326381,8.628975,1.022094,0.066667,0.064309,1.000000,0.01286183,1.359184,0.000000,14,0.247222,0.075026,,,115.697292,138.437166,0.835739,0.000000
20,100.000,0.473282,0.430175,0.096542,42.595398,38.715785,8.688817,1.003414,0.000000,0.021744,1.000000,0.00434883,1.359912,0.000000,14,0.249193,0.117057,,,115.901800,138.172440,0.838820,0.000000
21,105.000,0.479264,0.423295,0.097441,43.133723,38.096588,8.769689,1.018149,0.000000,0.012554,0.995585,0.00251090,1.360885,0.000000,14,0.251337,0.164241,,,109.230768,137.906227,0.792066,0.000000
22,110.000,0.485101,0.416327,0.098572,43.659085,37.469401,8.871513,1.022949,0.000000,0.013965,0.995585,0.00279292,1.362093,0.000000,14,0.253758,0.215846,,,111.838703,137.638791,0.812552,0.000000
23,115.000,0.490789,0.409276,0.099935,44.170969,36.834842,8.994189,1.083099,0.066667,0.065564,1.000000,0.01311286,1.363523,0.000000,15,0.287770,0.240360,,,116.157197,137.370395,0.845577,0.000000
24,120.000,0.496321,0.402150,0.101529,44.668867,36.193539,9.137595,1.009534,0.000000,0.071440,0.989247,0.01428791,1.365161,0.000000,15,0.289986,0.295717,,,117.318421,137.101305,0.855706,0.000000
25,125.000,0.501692,0.394957,0.103351,45.152288,35.546122,9.301589,1.010891,0.000000,0.014864,1.000000,0.00297276,1.366991,0.000000,15,0.292041,0.353693,,,109.181360,136.831787,0.797924,0.000000
26,130.000,0.506897,0.387703,0.105400,45.620756,34.893233,9.486011,1.048170,0.000000,0.031738,1.000000,0.00634770,1.368993,0.000000,15,0.293916,0.413661,,,117.899652,136.562105,0.863341,0.000000
27,135.000,0.511931,0.380395,0.107674,46.073809,34.235514,9.690677,1.044682,0.000000,0.015262,1.000000,0.00305249,1.371149,0.000000,15,0.295610,0.474986,,,110.259991,136.292526,0.808995,0.000000
28,140.000,0.516789,0.373040,0.110171,46.510998,33.573616,9.915386,1.085366,0.000000,0.033504,1.000000,0.00670074,1.373436,0.000000,15,0.297119,0.537042,,,114.914608,136.023317,0.844816,0.000000
29,145.000,0.521465,0.365647,0.112888,46.931893,32.908191,10.159916,1.073690,0.000000,0.016835,0.996416,0.00336690,1.375832,0.000000,15,0.298611,0.599214,,,115.681849,135.754742,0.852139,0.000000
30,150.000,0.525956,0.358221,0.115823,47.336078,32.239896,10.424026,1.024985,0.000000,0.049439,0.996416,0.00988780,1.378316,0.500000,15,0.300369,0.660908,,,113.550533,135.487068,0.838091,0.000000
31,155.000,0.530257,0.350771,0.118972,47.723155,31.569390,10.707455,1.009218,0.000000,0.021360,1.000000,0.00427207,1.380864,0.000000,15,0.301953,0.721560,,,107.860180,135.220557,0.797661,0.000000
32,160.000,0.534364,0.343304,0.122332,48.092741,30.897335,11.009923,1.071654,0.000000,0.054090,0.996416,0.01081798,1.383452,0.000000,15,0.303415,0.780641,,,113.675899,134.955474,0.842322,0.000000
33,165.000,0.538272,0.335827,0.125901,48.444472,30.224395,11.331133,1.085876,0.000000,0.016716,0.996416,0.00334312,1.386057,0.000000,15,0.304838,0.837661,,,111.994532,134.692079,0.831486,0.000000
34,170.000,0.541978,0.328347,0.129675,48.778000,29.551234,11.670766,0.988767,0.000000,0.093559,1.000000,0.01871189,1.388656,0.000000,15,0.306334,0.892173,,,112.741545,134.430633,0.838660,0.000000
35,175.000,0.545478,0.320872,0.133650,49.092997,28.878515,12.028488,1.057773,0.000000,0.060924,0.996416,0.01218488,1.391226,0.000000,15,0.307674,0.943780,,,113.114000,134.171394,0.843056,0.000000
36,180.000,0.548768,0.313410,0.137822,49.389151,28.206903,12.403946,1.069431,0.000000,0.017144,1.000000,0.00342872,1.393745,0.000000,15,0.308987,0.992130,,,110.586548,133.914618,0.825799,0.000000
37,185.000,0.551846,0.305967,0.142186,49.666171,27.537061,12.796768,1.045828,0.000000,0.028282,0.989247,0.00565640,1.396191,0.000000,15,0.310434,1.036922,,,110.809626,133.660557,0.829038,0.000000
38,190.000,0.554709,0.298552,0.146740,49.923782,26.869649,13.206569,1.000459,0.000000,0.047916,1.000000,0.00958326,1.398544,0.000000,15,0.311930,1.077906,,,112.647992,133.409463,0.844378,0.000000
39,195.000,0.557353,0.291170,0.151477,50.161731,26.205327,13.632942,1.055986,0.000000,0.048032,1.000000,0.00960630,1.400785,0.000000,15,0.313234,1.114879,,,107.231680,133.161583,0.805275,0.000000
40,200.000,0.559775,0.283831,0.156394,50.379782,25.544749,14.075468,1.046808,0.000000,0.018257,0.989247,0.00365144,1.402895,0.000000,15,0.314736,1.147689,,,106.144269,132.917163,0.798575,0.000000
41,205.000,0.561975,0.276540,0.161486,50.577722,24.888569,14.533709,0.990506,0.000000,0.058374,0.996416,0.01167478,1.404857,0.000000,15,0.316393,1.176227,,,106.024099,132.676443,0.799118,0.000000
42,210.000,0.563948,0.269305,0.166747,50.755353,24.237432,15.007214,1.032314,0.000000,0.035795,0.989247,0.00715905,1.406656,0.000000,15,0.318401,1.200429,,,109.298059,132.439660,0.825267,0.000000
43,215.000,0.565694,0.262133,0.172172,50.912502,23.591983,15.495515,0.987048,0.000000,0.048535,0.996416,0.00970709,1.408277,0.000000,15,0.320681,1.220273,,,105.895459,132.207050,0.800982,0.000000
44,220.000,0.567211,0.255032,0.177757,51.049013,22.952858,15.998130,0.965983,0.000000,0.028603,1.000000,0.00572057,1.409709,0.000000,15,0.322877,1.235774,,,106.662842,131.978840,0.808181,0.000000
45,225.000,0.568497,0.248008,0.183495,51.164750,22.320687,16.514563,0.991966,0.000000,0.022346,0.985663,0.00446914,1.410939,0.000000,15,0.325829,1.246985,,,105.782620,131.755257,0.802872,0.000000
46,230.000,0.569551,0.241068,0.189381,51.259601,21.696095,17.044305,0.988136,0.000000,0.015941,1.000000,0.00318822,1.411958,0.000000,15,0.328789,1.253989,,,104.717763,131.536520,0.796112,0.000000
47,235.000,0.570372,0.234219,0.195409,51.333471,21.079697,17.586832,0.990473,0.000000,0.015561,0.982079,0.00311217,1.412759,0.000000,15,0.332135,1.256899,,,102.104969,131.322847,0.777511,0.000000
48,240.000,0.570959,0.227468,0.201573,51.386287,20.472103,18.141610,1.011509,0.000000,0.021376,1.000000,0.00427525,1.413336,0.000000,15,0.336097,1.255854,,,101.588817,131.114447,0.774810,0.000000
49,245.000,0.571311,0.220821,0.207868,51.417998,19.873912,18.708090,1.026251,0.000000,0.019321,0.996416,0.00386421,1.413683,0.000000,15,0.339891,1.251016,,,107.708512,130.911527,0.822758,0.000000
50,250.000,0.571429,0.214286,0.214286,51.428571,19.285714,19.285714,1.034398,0.000000,0.017028,1.000000,0.00340557,1.413800,0.000000,15,0.343935,1.242568,,,101.652937,130.714286,0.777673,0.000000
51,255.000,0.571311,0.207868,0.220821,51.417998,18.708090,19.873912,1.031374,0.000000,0.016204,0.996416,0.00324084,1.413683,0.000000,15,0.348319,1.230709,,,104.533678,130.522919,0.800884,0.000000
52,260.000,0.570959,0.201573,0.227468,51.386287,18.141610,20.472103,1.028385,0.000000,0.016338,0.989247,0.00326755,1.413336,0.000000,15,0.352860,1.215653,,,105.128518,130.337616,0.806586,0.000000
53,265.000,0.570372,0.195409,0.234219,51.333471,17.586832,21.079697,1.003165,0.000000,0.030708,0.996416,0.00614159,1.412759,0.000000,15,0.357628,1.197628,,,101.747323,130.158558,0.781718,0.000000
54,270.000,0.569551,0.189381,0.241068,51.259601,17.044305,21.696095,0.949807,0.000000,0.057769,0.996416,0.01155382,1.411958,0.000000,15,0.362539,1.176869,,,100.509987,129.985924,0.773237,0.000000
55,275.000,0.568497,0.183495,0.248008,51.164750,16.514563,22.320687,0.931652,0.000000,0.026994,1.000000,0.00539888,1.410939,0.000000,15,0.367576,1.153620,,,102.358407,129.819882,0.788465,0.000000
56,280.000,0.567211,0.177757,0.255032,51.049013,15.998130,22.952858,0.971103,0.000000,0.036040,1.000000,0.00720797,1.409709,0.000000,15,0.372409,1.128133,,,102.591498,129.660597,0.791231,0.000000
57,285.000,0.565694,0.172172,0.262133,50.912502,15.495515,23.591983,0.957878,0.000000,0.023417,0.996416,0.00468333,1.408277,0.000000,15,0.377293,1.100659,,,97.814232,129.508227,0.755274,0.000000
58,290.000,0.563948,0.166747,0.269305,50.755353,15.007214,24.237432,0.965184,0.000000,0.015505,1.000000,0.00310097,1.406656,0.000000,15,0.382035,1.071457,,,101.616846,129.362921,0.785518,0.000000
59,295.000,0.561975,0.161486,0.276540,50.577722,14.533709,24.888569,0.901396,0.066667,0.086774,1.000000,0.01735484,1.404857,0.000000,14,0.368111,0.983049,,,96.593410,129.224823,0.747483,0.000000
60,300.000,0.559775,0.156394,0.283831,50.379782,14.075468,25.544749,0.905513,0.000000,0.013201,0.995585,0.00264023,1.402895,0.000000,14,0.372245,0.948926,,,104.708532,129.094069,0.811103,0.000000
61,305.000,0.557353,0.151477,0.291170,50.161731,13.632942,26.205327,0.972411,0.000000,0.065065,0.995585,0.01301309,1.400785,0.000000,14,0.376732,0.913724,,,100.766943,128.970788,0.781316,0.000000
62,310.000,0.554709,0.146740,0.298552,49.923782,13.206569,26.869649,0.934415,0.000000,0.042850,1.000000,0.00857001,1.398544,0.000000,14,0.380975,0.877720,,,103.242983,128.855103,0.801233,0.000000
63,315.000,0.551846,0.142186,0.305967,49.666171,12.796768,27.537061,0.937676,0.000000,0.013388,1.000000,0.00267766,1.396191,0.000000,14,0.384953,0.841186,,,95.499532,128.747126,0.741760,0.000000
64,320.000,0.548768,0.137822,0.313410,49.389151,12.403946,28.206903,0.871471,0.142857,0.111330,1.000000,0.02226599,1.393745,0.000000,12,0.347605,0.644235,,,100.425804,128.646965,0.780631,0.000000
65,325.000,0.545478,0.133650,0.320872,49.092997,12.028488,28.878515,0.895500,0.000000,0.025459,0.992982,0.00509189,1.391226,0.000000,12,0.350075,0.601712,,,98.071849,128.554719,0.762880,0.000000
66,330.000,0.541978,0.129675,0.328347,48.778000,11.670766,29.551234,0.940183,0.000000,0.045066,1.000000,0.00901313,1.388656,0.000000,12,0.352720,0.559197,,,99.973815,128.470477,0.778185,0.000000
67,335.000,0.538272,0.125901,0.335827,48.444472,11.331133,30.224395,0.907621,0.000000,0.037090,1.000000,0.00741809,1.386057,0.000000,12,0.355086,0.517013,,,94.913748,128.394325,0.739236,0.000000
68,340.000,0.534364,0.122332,0.343304,48.092741,11.009923,30.897335,0.935295,0.000000,0.027149,1.000000,0.00542973,1.383452,0.000000,12,0.357169,0.475478,,,98.221478,128.326337,0.765404,0.000000
69,345.000,0.530257,0.118972,0.350771,47.723155,10.707455,31.569390,0.849195,0.000000,0.094298,1.000000,0.01885965,1.380864,0.000000,12,0.358964,0.434903,,,104.381976,128.266579,0.813789,0.000000
