steps,mode,entropy,top3_churn,active_edges,k8s_ms,cga_ms,hda_ms,run_id
200,step,1.18129100,0.01005025,13.27500000,104.516645,98.245570,93.833750,continuous-longmix-scale45-step-steps200-20260611T120728Z
200,linear,1.48830601,0.01005025,14.98500000,101.933589,95.817496,91.508999,continuous-longmix-scale45-linear-steps200-20260611T120729Z
200,sinusoidal,1.38653260,0.02261307,13.28000000,104.782034,98.495036,94.072601,continuous-longmix-scale45-sinusoidal-steps200-20260611T120729Z
200,markov,1.03504000,0.14070352,10.96000000,104.600933,98.324800,93.909610,continuous-longmix-scale45-markov-steps200-20260611T120731Z
500,step,1.18129100,0.00400802,13.30000000,104.375270,98.142701,94.008640,continuous-longmix-scale45-step-steps500-20260611T120732Z
500,linear,1.48898897,0.00400802,14.98600000,101.943128,95.856487,91.819712,continuous-longmix-scale45-linear-steps500-20260611T120733Z
500,sinusoidal,1.38653266,0.00901804,13.32400000,104.726404,98.472767,94.324661,continuous-longmix-scale45-sinusoidal-steps500-20260611T120734Z
500,markov,1.03504000,0.13627255,11.25000000,107.384948,100.971798,96.717350,continuous-longmix-scale45-markov-steps500-20260611T120735Z
1000,step,1.18129100,0.00200200,13.31400000,104.396531,98.164858,93.942840,continuous-longmix-scale45-step-steps1000-20260611T120742Z
1000,linear,1.48921544,0.00200200,14.98900000,102.019195,95.930162,91.803238,continuous-longmix-scale45-linear-steps1000-20260611T120743Z
1000,sinusoidal,1.38653263,0.00450450,13.31100000,104.796255,98.540598,94.302592,continuous-longmix-scale45-sinusoidal-steps1000-20260611T120737Z
1000,markov,1.03504000,0.15515516,11.49400000,109.751219,103.198264,98.762059,continuous-longmix-scale45-markov-steps1000-20260611T120736Z
