benchmark,run_id,namespace,scale,replica_level,replica_config,workload_mode,repeat,policy,policy_display_name,step,time_s,evidence_type,request_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,gda_query_latency_ms,gda_build_time_ms,gda_total_time_ms,gda_nodes,gda_edges,gda_query_count,latency_ms,p50_ms,p95_ms,p99_ms,throughput_rps,error_rate,sla_ms,sla_pressure,sla_violation_ratio,worker_nodes_selected,actual_app_pods,ready_app_pods,non_empty_worker_nodes,pod_node_occupancy_ratio,pod_restarts,total_pods,cluster_cpu_utilization,cluster_memory_utilization,top_node_cpu_utilization
online-boutique,online-boutique-longmix-stageB-scale45-replica5-linear-steps500-20260612T140711Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,linear,stageB,kubernetes-default,K8s default,0,0.000,replay,mixed,0.978681,0.000000,7,1.383511,0.000000,0.388873,1.073814,,,0.000000,0.018264,0.018264,7,7,0,66.603382,66.603382,66.603382,66.603382,120.000000,0.000000,111.526316,0.597199,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageB-scale45-replica5-linear-steps500-20260612T140711Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,linear,stageB,cga,CGA,0,0.000,replay,mixed,0.978681,0.000000,7,1.383511,0.000000,0.388873,1.073814,,,0.000000,0.018264,0.018264,7,7,0,61.654079,61.654079,61.654079,61.654079,120.000000,0.000000,111.526316,0.552821,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageB-scale45-replica5-linear-steps500-20260612T140711Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,linear,stageB,hda,HDA,0,0.000,replay,mixed,0.978681,0.000000,7,1.383511,0.000000,0.388873,1.073814,,,0.000000,0.018264,0.018264,7,7,0,53.075675,53.075675,53.075675,53.075675,120.000000,0.000000,111.526316,0.475903,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageB-scale45-replica5-linear-steps500-20260612T140711Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,linear,stageB,kubernetes-default,K8s default,1,1.000,replay,mixed,0.976378,0.005724,7,1.395626,0.000000,0.386308,1.080025,,,0.000000,0.010650,0.010650,7,7,0,66.010103,66.010103,66.010103,66.010103,120.000000,0.000000,111.742824,0.590732,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageB-scale45-replica5-linear-steps500-20260612T140711Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,linear,stageB,cga,CGA,1,1.000,replay,mixed,0.976378,0.005724,7,1.395626,0.000000,0.386308,1.080025,,,0.000000,0.010650,0.010650,7,7,0,56.343635,56.343635,56.343635,56.343635,120.000000,0.000000,111.742824,0.504226,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageB-scale45-replica5-linear-steps500-20260612T140711Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,linear,stageB,hda,HDA,1,1.000,replay,mixed,0.976378,0.005724,7,1.395626,0.000000,0.386308,1.080025,,,0.000000,0.010650,0.010650,7,7,0,53.936187,53.936187,53.936187,53.936187,120.000000,0.000000,111.742824,0.482681,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageB-scale45-replica5-linear-steps500-20260612T140711Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,linear,stageB,kubernetes-default,K8s default,2,2.000,replay,mixed,0.974189,0.005617,7,1.407473,0.000000,0.383751,1.086142,,,0.000000,0.010220,0.010220,7,7,0,65.111615,65.111615,65.111615,65.111615,120.000000,0.000000,111.958786,0.581568,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageB-scale45-replica5-linear-steps500-20260612T140711Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,linear,stageB,cga,CGA,2,2.000,replay,mixed,0.974189,0.005617,7,1.407473,0.000000,0.383751,1.086142,,,0.000000,0.010220,0.010220,7,7,0,61.497207,61.497207,61.497207,61.497207,120.000000,0.000000,111.958786,0.549284,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageB-scale45-replica5-linear-steps500-20260612T140711Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,linear,stageB,hda,HDA,2,2.000,replay,mixed,0.974189,0.005617,7,1.407473,0.000000,0.383751,1.086142,,,0.000000,0.010220,0.010220,7,7,0,57.802808,57.802808,57.802808,57.802808,120.000000,0.000000,111.958786,0.516286,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageB-scale45-replica5-linear-steps500-20260612T140711Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,linear,stageB,kubernetes-default,K8s default,3,3.000,replay,mixed,0.966759,0.009721,7,1.419070,0.000000,0.381203,1.092163,,,0.000000,0.009288,0.009288,7,7,0,65.406806,65.406806,65.406806,65.406806,120.000000,0.000000,112.174203,0.583082,0.000000,45,,,,,,,,,
