policy,step,time_s,traffic_stress,weighted_edge_distance,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes,0,0.000,0.912956,0.000000,116.318522,142.852562,0.814256,0.000000
policy1,0,0.000,0.912956,0.000000,108.421938,142.852562,0.758978,0.000000
policy4,0,0.000,0.912956,0.000000,107.760310,142.852562,0.754346,0.000000
kubernetes,1,2.000,0.950034,0.052793,114.443430,141.724965,0.807504,0.000000
policy1,1,2.000,0.950034,0.052793,111.358147,141.724965,0.785734,0.000000
policy4,1,2.000,0.950034,0.052793,105.161582,141.724965,0.742012,0.000000
kubernetes,2,4.000,1.000015,0.053684,115.045309,140.443673,0.819156,0.000000
policy1,2,4.000,1.000015,0.053684,112.177672,140.443673,0.798738,0.000000
policy4,2,4.000,1.000015,0.053684,109.535375,140.443673,0.779924,0.000000
kubernetes,3,6.000,1.045259,0.060473,120.178866,139.047619,0.864300,0.000000
policy1,3,6.000,1.045259,0.060473,109.233471,139.047619,0.785583,0.000000
policy4,3,6.000,1.045259,0.060473,108.616512,139.047619,0.781146,0.000000
kubernetes,4,8.000,1.000598,0.080880,115.164851,137.579221,0.837080,0.000000
policy1,4,8.000,1.000598,0.080880,110.563878,137.579221,0.803638,0.000000
policy4,4,8.000,1.000598,0.080880,103.995609,137.579221,0.755896,0.000000
kubernetes,5,10.000,1.001244,0.080488,114.994296,136.083095,0.845030,0.000000
policy1,5,10.000,1.001244,0.080488,109.057415,136.083095,0.801403,0.000000
policy4,5,10.000,1.001244,0.080488,101.623457,136.083095,0.746775,0.000000
kubernetes,6,12.000,1.009766,0.084002,112.389288,134.604701,0.834958,0.000000
policy1,6,12.000,1.009766,0.084002,102.872001,134.604701,0.764253,0.000000
policy4,6,12.000,1.009766,0.084002,106.081427,134.604701,0.788096,0.000000
kubernetes,7,14.000,1.052351,0.089702,110.952817,133.188959,0.833048,0.000000
policy1,7,14.000,1.052351,0.089702,107.613160,133.188959,0.807974,0.000000
policy4,7,14.000,1.052351,0.089702,102.119826,133.188959,0.766729,0.000000
kubernetes,8,16.000,0.975060,0.118845,112.846983,131.878885,0.855687,0.000000
policy1,8,16.000,0.975060,0.118845,104.703129,131.878885,0.793934,0.000000
policy4,8,16.000,0.975060,0.118845,96.329473,131.878885,0.730439,0.000000
kubernetes,9,18.000,1.012331,0.090006,104.663766,130.714286,0.800706,0.000000
policy1,9,18.000,1.012331,0.090006,100.208451,130.714286,0.766622,0.000000
policy4,9,18.000,1.012331,0.090006,97.916745,130.714286,0.749090,0.000000
kubernetes,10,20.000,0.977315,0.099718,108.382970,129.730546,0.835447,0.000000
policy1,10,20.000,0.977315,0.099718,103.552216,129.730546,0.798210,0.000000
policy4,10,20.000,0.977315,0.099718,98.643721,129.730546,0.760374,0.000000
kubernetes,11,22.000,0.893302,0.129728,101.535522,128.957557,0.787356,0.000000
policy1,11,22.000,0.893302,0.129728,92.737579,128.957557,0.719133,0.000000
policy4,11,22.000,0.893302,0.129728,91.528503,128.957557,0.709757,0.000000
kubernetes,12,24.000,0.898424,0.093811,101.012766,128.418806,0.786589,0.000000
policy1,12,24.000,0.898424,0.093811,92.112183,128.418806,0.717280,0.000000
policy4,12,24.000,0.898424,0.093811,85.200907,128.418806,0.663461,0.000000
kubernetes,13,26.000,0.852573,0.101307,95.834062,128.130661,0.747940,0.000000
policy1,13,26.000,0.852573,0.101307,93.744399,128.130661,0.731631,0.000000
policy4,13,26.000,0.852573,0.101307,89.532737,128.130661,0.698761,0.000000
kubernetes,14,28.000,0.810846,0.120850,100.972724,128.101879,0.788222,0.000000
policy1,14,28.000,0.810846,0.120850,90.670554,128.101879,0.707800,0.000000
policy4,14,28.000,0.810846,0.120850,87.680896,128.101879,0.684462,0.000000
