step,time_s,p_read_home,p_compose_post,p_read_user,qps_read_home,qps_compose_post,qps_read_user,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.333333,0.539530,0.127137,40.000000,64.743583,15.256417,0.912956,0.000000,0.000000,1.000000,0.00000000,116.318522,142.852562,0.814256,0.000000
1,2.000,0.374678,0.515725,0.109597,44.961377,61.886984,13.151639,0.950034,0.000000,0.052793,0.971326,0.02639642,114.443430,141.724965,0.807504,0.000000
2,4.000,0.414767,0.486378,0.098855,49.772004,58.365360,11.862636,1.000015,0.000000,0.053684,0.992832,0.02684180,115.045309,140.443673,0.819156,0.000000
3,6.000,0.452381,0.452381,0.095238,54.285714,54.285714,11.428571,1.045259,0.000000,0.060473,0.974910,0.03023662,120.178866,139.047619,0.864300,0.000000
4,8.000,0.486378,0.414767,0.098855,58.365360,49.772004,11.862636,1.000598,0.000000,0.080880,0.978495,0.04043991,115.164851,137.579221,0.837080,0.000000
5,10.000,0.515725,0.374678,0.109597,61.886984,44.961377,13.151639,1.001244,0.000000,0.080488,0.989247,0.04024414,114.994296,136.083095,0.845030,0.000000
6,12.000,0.539530,0.333333,0.127137,64.743583,40.000000,15.256417,1.009766,0.000000,0.084002,0.982079,0.04200095,112.389288,134.604701,0.834958,0.000000
7,14.000,0.557070,0.291989,0.150942,66.848361,35.038623,18.113016,1.052351,0.000000,0.089702,0.985663,0.04485093,110.952817,133.188959,0.833048,0.000000
8,16.000,0.567811,0.251900,0.180289,68.137364,30.227996,21.634640,0.975060,0.000000,0.118845,0.928315,0.05942236,112.846983,131.878885,0.855687,0.000000
9,18.000,0.571429,0.214286,0.214286,68.571429,25.714286,25.714286,1.012331,0.000000,0.090006,0.971326,0.04500311,104.663766,130.714286,0.800706,0.000000
10,20.000,0.567811,0.180289,0.251900,68.137364,21.634640,30.227996,0.977315,0.000000,0.099718,0.967742,0.04985888,108.382970,129.730546,0.835447,0.000000
11,22.000,0.557070,0.150942,0.291989,66.848361,18.113016,35.038623,0.893302,0.000000,0.129728,0.985663,0.06486411,101.535522,128.957557,0.787356,0.000000
12,24.000,0.539530,0.127137,0.333333,64.743583,15.256417,40.000000,0.898424,0.066667,0.093811,0.996416,0.04690573,101.012766,128.418806,0.786589,0.000000
