policy,step,time_s,traffic_stress,weighted_edge_distance,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes,0,0.000,0.912956,0.000000,95.036887,126.000000,0.754261,0.000000
policy1,0,0.000,0.912956,0.000000,88.417201,126.000000,0.701724,0.000000
policy4,0,0.000,0.912956,0.000000,88.606838,126.000000,0.703229,0.000000
kubernetes,1,2.000,0.950034,0.039028,93.660022,126.000000,0.743334,0.000000
policy1,1,2.000,0.950034,0.039028,91.821743,126.000000,0.728744,0.000000
policy4,1,2.000,0.950034,0.039028,86.456514,126.000000,0.686163,0.000000
kubernetes,2,4.000,1.000015,0.049980,95.959200,126.000000,0.761581,0.000000
policy1,2,4.000,1.000015,0.049980,94.236729,126.000000,0.747911,0.000000
policy4,2,4.000,1.000015,0.049980,92.357877,126.000000,0.732999,0.000000
kubernetes,3,6.000,1.045259,0.043285,102.012651,126.000000,0.809624,0.000000
policy1,3,6.000,1.045259,0.043285,92.157229,126.000000,0.731407,0.000000
policy4,3,6.000,1.045259,0.043285,92.266919,126.000000,0.732277,0.000000
kubernetes,4,8.000,1.000598,0.042727,98.309012,126.000000,0.780230,0.000000
policy1,4,8.000,1.000598,0.042727,94.719390,126.000000,0.751741,0.000000
policy4,4,8.000,1.000598,0.042727,88.825355,126.000000,0.704963,0.000000
kubernetes,5,10.000,1.001244,0.000645,98.267812,126.000000,0.779903,0.000000
policy1,5,10.000,1.001244,0.000645,93.334520,126.000000,0.740750,0.000000
policy4,5,10.000,1.001244,0.000645,86.569621,126.000000,0.687060,0.000000
kubernetes,6,12.000,1.009766,0.737794,137.769634,132.400000,1.040556,0.040556
policy1,6,12.000,1.009766,0.737794,126.729526,132.400000,0.957172,0.000000
policy4,6,12.000,1.009766,0.737794,128.923738,132.400000,0.973744,0.000000
kubernetes,7,14.000,1.052351,0.741519,130.048416,126.000000,1.032130,0.032130
policy1,7,14.000,1.052351,0.741519,125.563023,126.000000,0.996532,0.000000
policy4,7,14.000,1.052351,0.741519,119.305866,126.000000,0.946872,0.000000
kubernetes,8,16.000,0.975060,0.745034,140.632703,132.400000,1.062181,0.062181
policy1,8,16.000,0.975060,0.745034,130.821706,132.400000,0.988079,0.000000
policy4,8,16.000,0.975060,0.745034,121.336622,132.400000,0.916440,0.000000
kubernetes,9,18.000,1.012331,0.036817,104.118707,132.400000,0.786395,0.000000
policy1,9,18.000,1.012331,0.036817,99.696096,132.400000,0.752992,0.000000
policy4,9,18.000,1.012331,0.036817,97.426192,132.400000,0.735847,0.000000
kubernetes,10,20.000,0.977315,0.034589,108.592062,132.400000,0.820182,0.000000
policy1,10,20.000,0.977315,0.034589,103.748763,132.400000,0.783601,0.000000
policy4,10,20.000,0.977315,0.034589,98.831904,132.400000,0.746465,0.000000
kubernetes,11,22.000,0.893302,0.085963,103.577562,132.400000,0.782308,0.000000
policy1,11,22.000,0.893302,0.085963,94.657097,132.400000,0.714933,0.000000
policy4,11,22.000,0.893302,0.085963,93.366339,132.400000,0.705184,0.000000
kubernetes,12,24.000,0.898424,0.737910,126.473911,126.000000,1.003761,0.003761
policy1,12,24.000,0.898424,0.737910,116.045660,126.000000,0.920997,0.000000
policy4,12,24.000,0.898424,0.737910,108.115938,126.000000,0.858063,0.000000
kubernetes,13,26.000,0.852573,0.051035,91.183087,126.000000,0.723675,0.000000
policy1,13,26.000,0.852573,0.051035,89.372483,126.000000,0.709305,0.000000
policy4,13,26.000,0.852573,0.051035,85.346860,126.000000,0.677356,0.000000
kubernetes,14,28.000,0.810846,0.048942,95.476641,126.000000,0.757751,0.000000
policy1,14,28.000,0.810846,0.048942,85.504236,126.000000,0.678605,0.000000
policy4,14,28.000,0.810846,0.048942,82.734422,126.000000,0.656622,0.000000
kubernetes,15,30.000,0.831027,0.024284,90.623402,126.000000,0.719233,0.000000
policy1,15,30.000,0.831027,0.024284,86.581171,126.000000,0.687152,0.000000
policy4,15,30.000,0.831027,0.024284,75.294392,126.000000,0.597575,0.000000
kubernetes,16,32.000,0.703681,0.802237,153.325731,151.600000,1.011383,0.011383
policy1,16,32.000,0.703681,0.802237,145.580517,151.600000,0.960294,0.000000
policy4,16,32.000,0.703681,0.802237,135.559174,151.600000,0.894190,0.000000
kubernetes,17,34.000,0.661681,0.059686,117.597090,151.600000,0.775706,0.000000
policy1,17,34.000,0.661681,0.059686,112.165013,151.600000,0.739875,0.000000
policy4,17,34.000,0.661681,0.059686,100.897188,151.600000,0.665549,0.000000
kubernetes,18,36.000,0.722252,0.083865,115.446380,151.600000,0.761520,0.000000
policy1,18,36.000,0.722252,0.083865,113.109958,151.600000,0.746108,0.000000
policy4,18,36.000,0.722252,0.083865,114.472896,151.600000,0.755098,0.000000
kubernetes,19,38.000,0.641501,0.817978,121.322408,126.000000,0.962876,0.000000
policy1,19,38.000,0.641501,0.817978,111.174010,126.000000,0.882333,0.000000
policy4,19,38.000,0.641501,0.817978,107.209280,126.000000,0.850867,0.000000
kubernetes,20,40.000,0.599119,0.066067,84.801139,126.000000,0.673025,0.000000
policy1,20,40.000,0.599119,0.066067,76.927992,126.000000,0.610540,0.000000
policy4,20,40.000,0.599119,0.066067,73.909887,126.000000,0.586586,0.000000
kubernetes,21,42.000,0.596158,0.004942,78.874451,126.000000,0.625988,0.000000
policy1,21,42.000,0.596158,0.004942,75.396452,126.000000,0.598385,0.000000
policy4,21,42.000,0.596158,0.004942,69.991500,126.000000,0.555488,0.000000
kubernetes,22,44.000,0.589761,0.010731,80.212702,126.000000,0.636609,0.000000
policy1,22,44.000,0.589761,0.010731,72.636250,126.000000,0.576478,0.000000
policy4,22,44.000,0.589761,0.010731,75.988684,126.000000,0.603085,0.000000
kubernetes,23,46.000,0.645512,0.086367,87.345275,126.000000,0.693216,0.000000
policy1,23,46.000,0.645512,0.086367,80.602460,126.000000,0.639702,0.000000
policy4,23,46.000,0.645512,0.086367,78.559730,126.000000,0.623490,0.000000
kubernetes,24,48.000,0.574447,0.110090,83.497257,126.000000,0.662677,0.000000
policy1,24,48.000,0.574447,0.110090,86.823337,126.000000,0.689074,0.000000
policy4,24,48.000,0.574447,0.110090,78.211732,126.000000,0.620728,0.000000
kubernetes,25,50.000,0.585101,0.811931,142.798317,151.600000,0.941941,0.000000
policy1,25,50.000,0.585101,0.811931,137.409160,151.600000,0.906393,0.000000
policy4,25,50.000,0.585101,0.811931,131.478282,151.600000,0.867271,0.000000
kubernetes,26,52.000,0.638170,0.795025,122.027619,132.400000,0.921659,0.000000
policy1,26,52.000,0.638170,0.795025,119.989560,132.400000,0.906266,0.000000
policy4,26,52.000,0.638170,0.795025,113.714994,132.400000,0.858875,0.000000
kubernetes,27,54.000,0.656473,0.027880,89.103465,132.400000,0.672987,0.000000
policy1,27,54.000,0.656473,0.027880,86.455166,132.400000,0.652985,0.000000
policy4,27,54.000,0.656473,0.027880,85.382359,132.400000,0.644882,0.000000
kubernetes,28,56.000,0.724276,0.107260,94.788246,132.400000,0.715923,0.000000
policy1,28,56.000,0.724276,0.107260,90.351917,132.400000,0.682416,0.000000
policy4,28,56.000,0.724276,0.107260,88.440315,132.400000,0.667978,0.000000
kubernetes,29,58.000,0.744224,0.026804,96.396657,132.400000,0.728071,0.000000
policy1,29,58.000,0.744224,0.026804,91.979326,132.400000,0.694708,0.000000
policy4,29,58.000,0.744224,0.026804,85.863767,132.400000,0.648518,0.000000
kubernetes,30,60.000,0.730692,0.789120,157.087404,151.600000,1.036197,0.036197
policy1,30,60.000,0.730692,0.789120,137.370096,151.600000,0.906135,0.000000
policy4,30,60.000,0.730692,0.789120,134.251935,151.600000,0.885567,0.000000
kubernetes,31,62.000,0.752588,0.029094,120.221678,151.600000,0.793019,0.000000
policy1,31,62.000,0.752588,0.029094,111.856513,151.600000,0.737840,0.000000
policy4,31,62.000,0.752588,0.029094,103.392805,151.600000,0.682011,0.000000
kubernetes,32,64.000,0.854052,0.786685,132.331589,132.400000,0.999483,0.000000
policy1,32,64.000,0.854052,0.786685,126.982033,132.400000,0.959079,0.000000
policy4,32,64.000,0.854052,0.786685,116.934628,132.400000,0.883192,0.000000
kubernetes,33,66.000,0.907505,0.058901,105.516474,132.400000,0.796952,0.000000
policy1,33,66.000,0.907505,0.058901,95.417636,132.400000,0.720677,0.000000
policy4,33,66.000,0.907505,0.058901,92.683167,132.400000,0.700024,0.000000
kubernetes,34,68.000,0.848668,0.064834,105.778955,132.400000,0.798935,0.000000
policy1,34,68.000,0.848668,0.064834,98.420238,132.400000,0.743355,0.000000
policy4,34,68.000,0.848668,0.064834,94.580827,132.400000,0.714357,0.000000
kubernetes,35,70.000,0.953860,0.110281,110.506947,132.400000,0.834645,0.000000
policy1,35,70.000,0.953860,0.110281,98.619340,132.400000,0.744859,0.000000
policy4,35,70.000,0.953860,0.110281,96.145325,132.400000,0.726173,0.000000
