step,time_s,p_read_home,p_compose_post,p_read_user,qps_read_home,qps_compose_post,qps_read_user,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,0.912956,0.000000,0.000000,1.000000,0.00000000,95.036887,126.000000,0.754261,0.000000
1,2.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,0.950034,0.000000,0.039028,1.000000,0.01951397,93.660022,126.000000,0.743334,0.000000
2,4.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,1.000015,0.000000,0.049980,1.000000,0.02499010,95.959200,126.000000,0.761581,0.000000
3,6.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,1.045259,0.000000,0.043285,1.000000,0.02164273,102.012651,126.000000,0.809624,0.000000
4,8.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,1.000598,0.000000,0.042727,1.000000,0.02136371,98.309012,126.000000,0.780230,0.000000
5,10.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,1.001244,0.000000,0.000645,1.000000,0.00032269,98.267812,126.000000,0.779903,0.000000
6,12.000,0.120000,0.120000,0.760000,21.600000,21.600000,136.800000,1.009766,0.000000,0.737794,0.548967,0.36889717,137.769634,132.400000,1.040556,0.040556
7,14.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,1.052351,0.000000,0.741519,0.548967,0.37075950,130.048416,126.000000,1.032130,0.032130
8,16.000,0.120000,0.120000,0.760000,21.600000,21.600000,136.800000,0.975060,0.000000,0.745034,0.548967,0.37251698,140.632703,132.400000,1.062181,0.062181
9,18.000,0.120000,0.120000,0.760000,21.600000,21.600000,136.800000,1.012331,0.000000,0.036817,1.000000,0.01840848,104.118707,132.400000,0.786395,0.000000
10,20.000,0.120000,0.120000,0.760000,21.600000,21.600000,136.800000,0.977315,0.000000,0.034589,1.000000,0.01729473,108.592062,132.400000,0.820182,0.000000
11,22.000,0.120000,0.120000,0.760000,21.600000,21.600000,136.800000,0.893302,0.000000,0.085963,1.000000,0.04298161,103.577562,132.400000,0.782308,0.000000
12,24.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,0.898424,0.000000,0.737910,0.548967,0.36895498,126.473911,126.000000,1.003761,0.003761
13,26.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,0.852573,0.000000,0.051035,1.000000,0.02551767,91.183087,126.000000,0.723675,0.000000
14,28.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,0.810846,0.000000,0.048942,1.000000,0.02447114,95.476641,126.000000,0.757751,0.000000
15,30.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,0.831027,0.000000,0.024284,1.000000,0.01214225,90.623402,126.000000,0.719233,0.000000
16,32.000,0.120000,0.760000,0.120000,21.600000,136.800000,21.600000,0.703681,0.000000,0.802237,-0.311490,0.40111850,153.325731,151.600000,1.011383,0.011383
17,34.000,0.120000,0.760000,0.120000,21.600000,136.800000,21.600000,0.661681,0.000000,0.059686,1.000000,0.02984289,117.597090,151.600000,0.775706,0.000000
18,36.000,0.120000,0.760000,0.120000,21.600000,136.800000,21.600000,0.722252,0.000000,0.083865,1.000000,0.04193231,115.446380,151.600000,0.761520,0.000000
19,38.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,0.641501,0.066667,0.817978,-0.311490,0.40898918,121.322408,126.000000,0.962876,0.000000
20,40.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,0.599119,0.000000,0.066067,1.000000,0.03303339,84.801139,126.000000,0.673025,0.000000
21,42.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,0.596158,0.000000,0.004942,1.000000,0.00247083,78.874451,126.000000,0.625988,0.000000
22,44.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,0.589761,0.000000,0.010731,1.000000,0.00536567,80.212702,126.000000,0.636609,0.000000
23,46.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,0.645512,0.000000,0.086367,1.000000,0.04318349,87.345275,126.000000,0.693216,0.000000
24,48.000,0.760000,0.120000,0.120000,136.800000,21.600000,21.600000,0.574447,0.000000,0.110090,1.000000,0.05504501,83.497257,126.000000,0.662677,0.000000
25,50.000,0.120000,0.760000,0.120000,21.600000,136.800000,21.600000,0.585101,0.066667,0.811931,-0.311490,0.40596528,142.798317,151.600000,0.941941,0.000000
26,52.000,0.120000,0.120000,0.760000,21.600000,21.600000,136.800000,0.638170,0.066667,0.795025,-0.184187,0.39751257,122.027619,132.400000,0.921659,0.000000
27,54.000,0.120000,0.120000,0.760000,21.600000,21.600000,136.800000,0.656473,0.000000,0.027880,1.000000,0.01394004,89.103465,132.400000,0.672987,0.000000
28,56.000,0.120000,0.120000,0.760000,21.600000,21.600000,136.800000,0.724276,0.066667,0.107260,1.000000,0.05362987,94.788246,132.400000,0.715923,0.000000
29,58.000,0.120000,0.120000,0.760000,21.600000,21.600000,136.800000,0.744224,0.000000,0.026804,1.000000,0.01340207,96.396657,132.400000,0.728071,0.000000
30,60.000,0.120000,0.760000,0.120000,21.600000,136.800000,21.600000,0.730692,0.000000,0.789120,-0.184187,0.39455989,157.087404,151.600000,1.036197,0.036197
31,62.000,0.120000,0.760000,0.120000,21.600000,136.800000,21.600000,0.752588,0.000000,0.029094,1.000000,0.01454692,120.221678,151.600000,0.793019,0.000000
32,64.000,0.120000,0.120000,0.760000,21.600000,21.600000,136.800000,0.854052,0.000000,0.786685,-0.184187,0.39334271,132.331589,132.400000,0.999483,0.000000
33,66.000,0.120000,0.120000,0.760000,21.600000,21.600000,136.800000,0.907505,0.000000,0.058901,1.000000,0.02945037,105.516474,132.400000,0.796952,0.000000
34,68.000,0.120000,0.120000,0.760000,21.600000,21.600000,136.800000,0.848668,0.000000,0.064834,1.000000,0.03241722,105.778955,132.400000,0.798935,0.000000
35,70.000,0.120000,0.120000,0.760000,21.600000,21.600000,136.800000,0.953860,0.000000,0.110281,1.000000,0.05514059,110.506947,132.400000,0.834645,0.000000
