step,time_s,evidence_type,gda_query_latency_ms,gda_build_time_ms,gda_total_time_ms,gda_nodes,gda_edges,gda_query_count
0,0.000,replay,0.000000,0.014136,0.014136,7,7,0
1,1.000,replay,0.000000,0.009768,0.009768,7,7,0
2,2.000,replay,0.000000,0.009197,0.009197,7,7,0
3,3.000,replay,0.000000,0.008827,0.008827,7,7,0
4,4.000,replay,0.000000,0.009869,0.009869,7,7,0
5,5.000,replay,0.000000,0.008396,0.008396,7,7,0
6,6.000,replay,0.000000,0.008435,0.008435,7,7,0
7,7.000,replay,0.000000,0.012032,0.012032,7,7,0
8,8.000,replay,0.000000,0.008876,0.008876,7,7,0
9,9.000,replay,0.000000,0.008577,0.008577,7,7,0
10,10.000,replay,0.000000,0.012513,0.012513,7,7,0
11,11.000,replay,0.000000,0.008877,0.008877,7,7,0
12,12.000,replay,0.000000,0.008676,0.008676,7,7,0
13,13.000,replay,0.000000,0.008646,0.008646,7,7,0
14,14.000,replay,0.000000,0.011952,0.011952,7,7,0
15,15.000,replay,0.000000,0.008446,0.008446,7,7,0
16,16.000,replay,0.000000,0.008627,0.008627,7,7,0
17,17.000,replay,0.000000,0.008716,0.008716,7,7,0
18,18.000,replay,0.000000,0.008767,0.008767,7,7,0
19,19.000,replay,0.000000,0.008866,0.008866,7,7,0
20,20.000,replay,0.000000,0.008526,0.008526,7,7,0
21,21.000,replay,0.000000,0.016030,0.016030,7,7,0
22,22.000,replay,0.000000,0.008586,0.008586,7,7,0
23,23.000,replay,0.000000,0.008587,0.008587,7,7,0
24,24.000,replay,0.000000,0.013095,0.013095,7,7,0
25,25.000,replay,0.000000,0.009098,0.009098,7,7,0
26,26.000,replay,0.000000,0.008936,0.008936,7,7,0
27,27.000,replay,0.000000,0.012894,0.012894,7,7,0
28,28.000,replay,0.000000,0.008686,0.008686,7,7,0
29,29.000,replay,0.000000,0.010319,0.010319,7,7,0
30,30.000,replay,0.000000,0.008407,0.008407,7,7,0
31,31.000,replay,0.000000,0.008425,0.008425,7,7,0
32,32.000,replay,0.000000,0.009648,0.009648,7,7,0
33,33.000,replay,0.000000,0.009227,0.009227,7,7,0
34,34.000,replay,0.000000,0.013606,0.013606,7,7,0
